date,seq,timestamp,final_verdict,total_ms,steps
2026-07-13,001,2026-07-13T01:52:37.546Z,OK,24132.0,Object Detector:OK(0.77);Socket Measurement:OK(0.46);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,001,2026-07-13T02:09:21.427Z,OK,21918.0,Object Detector:OK(0.62);Socket Measurement:OK(0.43);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00);Kamera / Webcam:OK(0.00)
2026-07-13,002,2026-07-13T02:11:06.940Z,OK,20559.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.70);Socket Measurement:OK(0.43);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,003,2026-07-13T02:11:27.196Z,OK,18305.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.68);Socket Measurement:OK(0.48);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,004,2026-07-13T02:11:46.454Z,OK,18564.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.70);Socket Measurement:OK(0.49);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,005,2026-07-13T02:12:12.478Z,OK,24593.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.73);Socket Measurement:OK(0.47);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,006,2026-07-13T02:12:38.144Z,OK,25247.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.69);Socket Measurement:OK(0.46);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,007,2026-07-13T02:12:59.541Z,OK,20651.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.67);Socket Measurement:OK(0.52);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,008,2026-07-13T02:13:21.164Z,OK,21266.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.69);Socket Measurement:OK(0.51);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,009,2026-07-13T02:13:41.693Z,OK,19780.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.73);Socket Measurement:OK(0.48);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,010,2026-07-13T02:14:01.269Z,OK,19376.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.64);Socket Measurement:OK(0.45);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
