epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.652,1.12859,1.69747,2.61126,1.00133,0.0411,0.33333,0.33167,0.24588,0.0411,0.33333,0.33167,0.22183,0.79239,0.85625,3.34377,0.79337,0.000404762,0.000404762,0.000404762
2,286.747,0.73656,0.88423,0.81958,0.83718,1,0.30484,0.33167,0.2819,1,0.30484,0.33167,0.2406,0.71239,0.74607,2.38594,0.7833,0.000813296,0.000813296,0.000813296
3,425.903,0.64517,0.81765,0.59314,0.82771,0.99562,0.33333,0.8361,0.61537,0.99564,0.33333,0.67348,0.35723,0.63535,0.74882,1.31483,0.78556,0.00121358,0.00121358,0.00121358
4,564.363,0.64122,0.78843,0.54136,0.8257,0.96161,0.75215,0.98378,0.68669,0.81642,0.689,0.77755,0.44124,0.60365,0.64109,0.78038,0.78972,0.00121287,0.00121287,0.00121287
5,704.039,0.6115,0.77603,0.50227,0.82089,0.98912,0.98235,0.99414,0.70852,0.81593,0.80903,0.78774,0.42093,0.55187,0.67696,0.48336,0.77763,0.0012005,0.0012005,0.0012005
6,842.831,0.59328,0.7575,0.48107,0.816,0.9778,0.97917,0.98181,0.72855,0.84021,0.84375,0.82572,0.45316,0.52142,0.64624,0.39834,0.77686,0.00118812,0.00118812,0.00118812
7,982.44,0.59377,0.74408,0.46363,0.81265,0.98566,0.98705,0.99342,0.73029,0.80167,0.82292,0.7955,0.43195,0.51896,0.65502,0.38119,0.77613,0.00117575,0.00117575,0.00117575
8,1121.14,0.5677,0.72389,0.44404,0.81022,0.99101,0.98484,0.99342,0.72912,0.82028,0.83681,0.7879,0.46768,0.521,0.66059,0.37125,0.77337,0.00116337,0.00116337,0.00116337
9,1260.71,0.55672,0.72608,0.42468,0.80869,0.9904,0.98708,0.99414,0.76153,0.84037,0.8125,0.80479,0.43545,0.48531,0.66756,0.33451,0.77295,0.001151,0.001151,0.001151
10,1399.54,0.54237,0.70977,0.41207,0.80792,0.98894,0.97583,0.99358,0.73624,0.84333,0.75347,0.76719,0.4082,0.46202,0.61796,0.36072,0.77203,0.00113863,0.00113863,0.00113863
11,1537.88,0.56566,0.7216,0.41192,0.81001,0.97444,0.98868,0.98324,0.73673,0.82568,0.83333,0.80423,0.42897,0.48617,0.65935,0.32866,0.77273,0.00112625,0.00112625,0.00112625
12,1675.35,0.54095,0.70486,0.39652,0.81017,0.97329,0.98958,0.99177,0.72829,0.79066,0.8081,0.79429,0.45683,0.49102,0.61471,0.32524,0.77312,0.00111388,0.00111388,0.00111388
13,1813.86,0.52889,0.69907,0.3854,0.80591,0.9855,0.97917,0.9941,0.75048,0.82233,0.82292,0.81259,0.46516,0.46455,0.60081,0.30855,0.76921,0.0011015,0.0011015,0.0011015
14,1953.03,0.52645,0.69439,0.37768,0.80621,0.96105,0.98958,0.99154,0.74601,0.87672,0.7857,0.79969,0.44632,0.43358,0.64417,0.30631,0.76814,0.00108913,0.00108913,0.00108913
15,2091.77,0.52769,0.68778,0.37637,0.80428,0.97468,0.9375,0.96812,0.73486,0.80091,0.83818,0.81731,0.47291,0.46091,0.65038,0.30255,0.77135,0.00107675,0.00107675,0.00107675
16,2231.92,0.51825,0.68548,0.36837,0.80665,0.99035,1,0.995,0.76285,0.82585,0.82986,0.80495,0.44602,0.44653,0.65487,0.28439,0.77006,0.00106437,0.00106437,0.00106437
17,2370.24,0.52981,0.68881,0.36885,0.80377,0.99003,1,0.995,0.7363,0.88204,0.80556,0.81182,0.42185,0.55021,0.63428,0.32394,0.78016,0.001052,0.001052,0.001052
18,2508.93,0.52969,0.66119,0.36714,0.80668,0.9809,0.98958,0.98479,0.74007,0.85647,0.84722,0.83274,0.47112,0.45273,0.63295,0.29953,0.76953,0.00103962,0.00103962,0.00103962
19,2648.05,0.50105,0.65523,0.3531,0.80473,0.98651,0.98958,0.9947,0.75193,0.8432,0.84242,0.81202,0.46533,0.44658,0.61313,0.2835,0.76876,0.00102725,0.00102725,0.00102725
20,2787.8,0.48765,0.64673,0.33957,0.80095,0.98154,0.98822,0.9837,0.73952,0.83432,0.83333,0.80305,0.42129,0.42284,0.6289,0.27113,0.76844,0.00101488,0.00101488,0.00101488
21,2926.72,0.50034,0.66467,0.3425,0.80303,0.97209,0.98958,0.98302,0.76144,0.86408,0.80556,0.80873,0.44314,0.44358,0.61276,0.27448,0.76851,0.0010025,0.0010025,0.0010025
22,3067.88,0.4885,0.651,0.33252,0.80258,0.98996,0.99863,0.995,0.75679,0.84911,0.84722,0.81657,0.46045,0.45336,0.60657,0.27285,0.76854,0.000990125,0.000990125,0.000990125
23,3208.79,0.48719,0.64642,0.32779,0.80359,0.98035,0.98958,0.98509,0.74638,0.78726,0.79167,0.74627,0.41966,0.42909,0.64198,0.25538,0.76871,0.00097775,0.00097775,0.00097775
24,3347.67,0.50413,0.66051,0.3321,0.80239,0.98008,0.98958,0.99289,0.74629,0.8221,0.82639,0.79153,0.41068,0.51964,0.64179,0.27589,0.77535,0.000965375,0.000965375,0.000965375
25,3486.01,0.49531,0.65977,0.32728,0.80335,0.98256,0.98926,0.98421,0.76325,0.838,0.83681,0.81649,0.43616,0.44392,0.61844,0.25152,0.76949,0.000953,0.000953,0.000953
26,3625.63,0.48835,0.63184,0.32222,0.80189,0.98375,0.98958,0.98342,0.75806,0.82088,0.82639,0.81621,0.45582,0.46281,0.60543,0.26864,0.77082,0.000940625,0.000940625,0.000940625
27,3765.57,0.48847,0.63241,0.32112,0.79939,0.99303,1,0.995,0.7664,0.83486,0.83681,0.82261,0.47163,0.44879,0.60776,0.25379,0.76971,0.00092825,0.00092825,0.00092825
28,3905.6,0.47638,0.63793,0.31385,0.79846,0.99388,0.99585,0.995,0.76738,0.85585,0.85348,0.85046,0.48508,0.45632,0.58878,0.24644,0.76968,0.000915875,0.000915875,0.000915875
29,4046.21,0.47939,0.62928,0.31771,0.79763,0.96964,0.98913,0.9924,0.7717,0.81763,0.82639,0.8135,0.45675,0.44738,0.62741,0.25161,0.76904,0.0009035,0.0009035,0.0009035
30,4185.08,0.48336,0.63604,0.3137,0.80074,0.98015,0.98949,0.98555,0.77654,0.82567,0.82986,0.81276,0.43493,0.42314,0.61332,0.252,0.76643,0.000891125,0.000891125,0.000891125
